?character	?state	?description
<http://purl.org/phenoscape/uuid/f5251b36-c704-4de3-acce-52f4460bef6d>	<http://purl.org/phenoscape/uuid/a373b614-e089-4f84-86af-f95c6e965fcc>	Paired fins, pelvic girdle and scapulocoracoids absent in adults: Paired fins, pelvic girdle and scapulocoracoids absent in adults
<http://purl.org/phenoscape/uuid/2fa8695b-ddf1-40ca-91a0-d36ea3dfc2eb>	<http://purl.org/phenoscape/uuid/a7771b8c-be0e-493c-899f-3fc1a7eb8dfd>	Round, truncate or spear-shaped caudal fin: round, truncate or spear-shaped
<http://purl.org/phenoscape/uuid/67623edf-e0f0-4709-95d5-689856173040>	<http://purl.org/phenoscape/uuid/a7a6725b-e9f9-4333-b7de-19fafbba9a9f>	Fleshy lobe of paired fins: absent
<http://purl.org/phenoscape/uuid/1920d467-9eaa-4905-b19b-8112eb745ab8>	<http://purl.org/phenoscape/uuid/aa7de859-22a9-46a4-a04f-7d16dd6c9709>	Pelvic fin webs: not joined in ventral midline
<http://purl.org/phenoscape/uuid/78e23902-1bfc-4103-9001-3d68eb801c28>	<http://purl.org/phenoscape/uuid/aac9d38c-00b8-4e46-af8b-b5febb236e8d>	Expansion of the neural and haemal spines of the two posterior free preural centra into transversely flattened plates in the males: Expansion of the neural and haemal spines of the two posterior free preural centra into transversely flattened plates in the males
<http://purl.org/phenoscape/uuid/d0f499c8-f69c-4162-bf38-fc8e82e6b80c>	<http://purl.org/phenoscape/uuid/b373302b-337c-4d9a-ac37-8b4dfff251ac>	Neural arch of uralcentra 1 and 2 or the \"first\" ural centrum: present
<http://purl.org/phenoscape/uuid/6649ecde-1525-445e-910c-f39afdb1a700>	<http://purl.org/phenoscape/uuid/bbe2de51-6d03-4bb7-bcff-23d812068099>	(H5.) Pectoral attachment rotated; primitive \"metapterygial axis\" transverse or oblique to body axis: pectoral attachment rotated
<http://purl.org/phenoscape/uuid/012f137c-0267-427f-a01a-cb137135272a>	<http://purl.org/phenoscape/uuid/be3df41a-b3a5-43f0-bd4b-86dcfd50dfaa>	Scales at the base of the median fin spines: undifferentiated, similar to body
<http://purl.org/phenoscape/uuid/d49dad12-44dc-4d69-891a-4467874436a4>	<http://purl.org/phenoscape/uuid/c1053d0a-87f3-404c-9dcf-f93b1a5c975d>	Dorsal spinelet: dorsal spinelet absent
<http://purl.org/phenoscape/uuid/9f7bc70a-0cc2-4431-bc64-58ea67f13d25>	<http://purl.org/phenoscape/uuid/c536a47e-17fa-4d48-966f-a3ecad9dc997>	Caudal fin: slightly rounded; principal caudal-fin rays, i,5/5,ii(4), i,5/ 6,i(45*) or i,6/6,i(1)
<http://purl.org/phenoscape/uuid/c5403c39-e56e-45b4-ae9d-15ff907b79a8>	<http://purl.org/phenoscape/uuid/c5b59ad9-11d1-47bd-b915-97552ad2a518>	Caudal-fin shape: rounded and with somewhat elongate  middle rays
<http://purl.org/phenoscape/uuid/c849ae16-92ec-49bd-80b7-a600619bcffa>	<http://purl.org/phenoscape/uuid/d1061b95-77e6-41ea-9410-bee95ad94756>	Stegural with anterodorsal membranous growth. Absence in Argentinoidei is secondary by parsimony optimization: Stegural with anterodorsal membranous growth
<http://purl.org/phenoscape/uuid/bfd9395a-473f-4fb5-bf57-4427d6dcd6c6>	<http://purl.org/phenoscape/uuid/d2e32549-03f3-47c4-8e02-0358a77794d3>	Series of dorsal intermuscular bones throughout caudal region: present
<http://purl.org/phenoscape/uuid/5ea85f7d-5790-476a-afd2-e6f23ec9f69d>	<http://purl.org/phenoscape/uuid/d605ed1f-1eae-46fa-8824-32e26db41428>	Neural arch on preural centrum 1: present
<http://purl.org/phenoscape/uuid/f7974d21-ed77-4c18-8c06-c7084d6df083>	<http://purl.org/phenoscape/uuid/d98a1eb1-5b2a-425c-950c-31a902de3d95>	Fin base articulation on scapulocoracoid: eurybasal
<http://purl.org/phenoscape/uuid/916934df-7330-4468-9fac-8f8aacb1020f>	<http://purl.org/phenoscape/uuid/db60a4bf-6190-4c30-8b4d-fe3345e91916>	Lepidotrichia of fin webs: present
<http://purl.org/phenoscape/uuid/3dfaea61-de54-456b-bf91-509b77806315>	<http://purl.org/phenoscape/uuid/dcc9e106-0cfe-4da1-9cdc-02f8628f9703>	Pectoral fin: rounded, horizontally placed, posteriormost tip reaching point midway between pectoral-fin origin and pelvic-fin origin when adpressed
<http://purl.org/phenoscape/uuid/76114eb2-3e02-41e5-b885-553ae1359e35>	<http://purl.org/phenoscape/uuid/ddb3672c-bafe-4901-90f3-2e7215830e6f>	no paired fins in adults and no pelvic girdle or scapulocoracoid: no paired fins in adults and no pelvic girdle or scapulocoracoid
